timestamp,simple-path,time
2021-06-08 11:28:57.343,/master/welcome,4945
2021-06-08 11:28:57.664,/master/welcome,262
2021-06-08 11:28:59.508,/master/sign-in,1674
2021-06-08 11:29:00.843,/master/welcome,585
2021-06-08 11:29:05.212,/master/welcome,254
2021-06-08 11:29:05.915,/master/welcome,584
2021-06-08 11:29:06.43,/master/welcome,294
2021-06-08 11:29:08.048,/anonymous/shout/list,1301
2021-06-08 11:29:10.222,/master/welcome,268
2021-06-08 11:29:10.985,/anonymous/shout/list,590
2021-06-08 11:29:12.915,/master/welcome,207
2021-06-08 11:29:13.677,/anonymous/shout/list,586
2021-06-08 11:29:15.622,/master/welcome,223
2021-06-08 11:29:16.418,/anonymous/shout/list,595
2021-06-08 11:29:18.453,/master/welcome,223
2021-06-08 11:29:18.706,/master/welcome,220
2021-06-08 11:29:19.424,/master/sign-in,588
2021-06-08 11:29:20.838,/master/welcome,592
2021-06-08 11:29:21.545,/anonymous/shout/list,622
2021-06-08 11:29:21.872,/master/welcome,267
2021-06-08 11:29:22.624,/master/welcome,592
